,Gender,Married,Dependents,Education,Self_Employed,Loan_Amount_Term,Credit_History,Loan_Status,LoanAmount_Log,TotalIncome_Log,Rural,Semiurban,Urban
62,0,0,0,1,1,180.0,0,0,7.366322214245816,12.564625862795372,1,0,0
63,0,0,1,0,0,360.0,0,0,7.007810628047801,12.271754805646474,1,0,0
64,1,1,0,0,0,360.0,0,0,6.857980995127572,12.024447124040647,0,1,0
65,0,0,0,0,0,360.0,1,0,8.011227255423254,13.333295139569085,0,1,0
66,0,1,0,1,0,180.0,0,0,6.977279923499917,12.413098984915264,0,0,1
67,0,0,1,0,0,360.0,1,1,8.285402218862249,13.392049039364185,0,0,1
68,0,0,3,1,1,60.0,1,1,6.965784284662087,12.793603309279407,0,0,1
69,1,1,0,0,0,360.0,0,0,7.087462841250339,12.070120944476823,0,1,0
70,0,0,0,0,0,360.0,1,1,7.426264754702098,12.615169813843602,0,0,1
71,0,0,2,1,1,360.0,1,1,6.599912842187128,11.872674880270605,0,1,0
72,0,1,0,0,0,300.0,1,1,6.339850002884624,11.77313920671969,0,1,0
73,0,0,3,1,0,360.0,0,0,6.569855608330948,12.215229625747925,0,1,0
74,0,0,3,0,1,360.0,1,1,7.546894459887636,12.78135971352466,0,1,0
75,0,1,0,0,0,480.0,1,0,6.820178962415188,11.872674880270605,0,0,1
76,0,1,0,0,0,360.0,1,0,7.459431618637297,13.053247125912426,0,0,1
77,0,0,1,0,1,360.0,1,0,6.78135971352466,11.973697366305352,0,0,1
78,0,0,3,0,0,300.0,0,0,7.491853096329675,12.80715363917749,0,1,0
80,1,1,0,0,0,360.0,1,1,6.794415866350106,11.909143047339898,0,1,0
81,0,0,1,0,1,360.0,1,1,7.007810628047801,11.225809940623543,0,1,0
82,1,0,2,0,0,360.0,1,0,7.383704292474052,11.670213636738564,0,0,1
84,0,0,1,0,0,240.0,1,1,5.643856189774724,11.961449694398196,0,0,1
85,0,1,0,0,0,360.0,1,1,7.087462841250339,12.257682480708766,0,1,0
87,0,0,0,0,0,360.0,1,1,6.700439718141092,12.173052457774116,0,1,0
88,0,1,0,0,0,360.0,1,1,7.714245517666122,13.064405961891042,0,0,1
89,0,0,0,0,0,360.0,1,1,7.451211111832329,13.267664537501119,0,1,0
90,0,0,0,0,0,360.0,1,1,7.03342300153745,12.516192477879367,0,1,0
91,0,0,2,0,0,180.0,1,1,7.554588851677638,13.539158811108031,0,1,0
92,0,0,2,1,0,360.0,1,1,6.339850002884624,12.314300001897534,0,0,1
93,0,1,0,0,0,360.0,1,1,6.930737337562887,12.01297364837454,0,1,0
94,0,1,0,1,0,120.0,1,1,4.643856189774724,11.821773981970567,0,1,0
96,1,0,0,0,0,360.0,1,1,7.098032082960526,12.2246046815385,0,1,0
97,0,0,0,0,0,360.0,1,1,5.643856189774724,11.53818893205242,0,1,0
98,0,0,0,1,0,180.0,1,1,6.845490050944375,12.032045726930809,0,1,0
99,0,0,0,0,0,360.0,1,1,7.03342300153745,12.371776644337924,0,1,0
100,0,0,2,1,0,180.0,1,1,7.05528243550119,12.882452001882136,0,0,1
101,0,1,0,0,0,360.0,1,1,7.2384047393250786,13.078317622216062,0,1,0
102,0,0,0,0,0,360.0,1,1,7.007810628047801,13.736613330694578,0,0,1
103,0,0,0,0,0,360.0,1,1,7.007810628047801,13.007552934613717,0,1,0
105,0,0,1,0,0,360.0,1,1,6.643856189774724,11.995060467032719,0,0,1
106,0,0,2,0,0,360.0,1,1,7.813781191217037,13.614594828765293,0,0,1
108,0,0,2,0,0,360.0,0,0,7.754887502163468,12.853309555403674,0,0,1
109,0,0,3,1,0,480.0,1,1,6.554588851677638,11.464035152189913,0,1,0
110,0,1,0,0,0,360.0,1,1,7.087462841250339,12.376125389276174,0,0,1
112,0,0,0,1,0,360.0,0,0,7.247927513443585,12.908017261062803,1,0,0
113,1,1,1,0,1,360.0,1,1,7.007810628047801,12.86321834758244,0,1,0
115,0,0,1,0,0,180.0,1,1,7.531381460516312,13.831999919509737,1,0,0
116,1,0,0,0,0,360.0,1,1,7.266786540694901,12.41204051455165,0,1,0
118,0,0,0,0,0,360.0,1,0,7.451211111832329,12.912515144802397,1,0,0
119,1,1,0,0,0,360.0,1,1,8.016808287686555,13.345405246717796,0,0,1
120,0,0,0,0,0,360.0,1,1,7.491853096329675,13.024793384702548,1,0,0
121,1,1,0,0,0,360.0,1,1,5.459431618637297,12.024447124040647,0,1,0
122,1,1,0,0,0,360.0,0,1,7.098032082960526,13.440479898811219,0,1,0
123,0,0,2,0,0,360.0,1,1,6.339850002884624,11.529918528120325,0,1,0
124,0,0,0,1,0,360.0,1,1,7.599912842187128,12.624338545312986,1,0,0
126,1,0,3,0,0,360.0,1,1,8.531381460516313,14.53885579393843,1,0,0
127,0,1,0,0,0,360.0,1,1,7.007810628047801,12.426526848451731,1,0,0
128,0,0,1,0,1,180.0,0,0,7.321928094887363,13.810069495917071,0,0,1
131,0,1,0,0,0,360.0,1,1,6.20945336562895,11.945077995107816,0,0,1
132,0,1,0,0,0,360.0,1,1,6.129283016944966,11.40832974076739,0,1,0
133,0,0,0,0,1,120.0,1,1,4.643856189774724,11.756139298372927,0,1,0
134,0,1,0,0,0,360.0,1,1,6.672425341971495,12.257093144491057,0,1,0
135,0,0,3,0,0,360.0,1,0,8.179909090014934,13.520373136339725,0,1,0
136,1,0,0,0,0,360.0,1,0,6.392317422778761,12.162076570374312,1,0,0
137,0,0,2,0,1,360.0,1,1,6.459431618637297,12.734709620225837,0,0,1
138,0,1,0,0,0,360.0,0,0,7.918863237274595,13.872578697395081,0,1,0
139,0,0,2,1,0,360.0,1,0,7.011227255423254,12.458919206967591,1,0,0
140,0,0,2,0,0,360.0,1,0,7.531381460516312,12.798674298826828,1,0,0
141,0,1,0,0,0,360.0,1,1,7.392317422778761,12.403278375471052,0,0,1
142,0,1,0,0,1,180.0,1,1,7.451211111832329,12.762797262498232,0,1,0
143,0,0,0,0,0,360.0,1,1,6.930737337562887,12.208234358339789,0,1,0
144,0,0,2,0,0,180.0,1,1,7.546894459887636,13.521232358323365,0,0,1
145,1,0,0,0,0,360.0,1,1,6.643856189774724,12.734709620225837,0,1,0
146,1,0,2,0,0,360.0,1,1,6.129283016944966,13.85972889267839,0,0,1
147,0,0,1,0,0,360.0,1,1,4.906890595608519,11.532842910961282,0,0,1
148,1,1,0,0,0,360.0,1,0,7.813781191217037,13.510022358813766,1,0,0
149,0,0,0,0,0,360.0,1,1,6.965784284662087,12.474212937193943,0,1,0
150,0,1,0,0,0,360.0,0,0,6.882643049361842,12.61585949358308,1,0,0
151,0,0,0,0,1,360.0,1,1,7.247927513443585,12.627305880514848,1,0,0
152,0,1,0,0,0,360.0,1,0,7.930737337562887,13.162076570374312,0,0,1
153,0,0,2,1,0,360.0,1,0,6.820178962415188,11.155450731312138,1,0,0
154,0,1,0,0,0,360.0,1,1,5.643856189774724,11.667998535672528,0,0,1
155,0,0,3,0,0,180.0,0,1,9.228818690495881,15.287676311722578,0,1,0
157,0,0,1,0,0,360.0,1,1,7.546894459887636,13.219471067394357,0,0,1
159,0,0,0,0,0,360.0,1,1,7.994353436858858,13.31741261376487,0,1,0
160,0,0,0,1,0,360.0,1,1,6.614709844115208,11.50382573799575,0,1,0
161,0,0,0,0,0,360.0,1,0,8.103287808412022,12.953650833649307,0,0,1
162,0,0,1,0,0,360.0,0,0,6.918863237274595,12.093087390444218,0,1,0
163,0,0,2,0,0,360.0,1,1,7.303780748177103,12.454813348512525,1,0,0
164,0,0,0,0,0,180.0,1,1,6.22881869049588,13.186578551633048,0,0,1
165,0,0,0,0,0,360.0,1,1,7.507794640198696,12.746724244025831,1,0,0
166,1,0,0,0,0,360.0,1,0,6.807354922057604,12.162076570374312,1,0,0
167,0,0,0,0,0,360.0,1,1,7.011227255423254,12.494855584491198,1,0,0
168,0,1,0,0,0,480.0,0,0,5.977279923499917,11.127349541059118,0,1,0
169,0,0,2,0,0,360.0,1,1,7.643856189774724,12.965784284662087,0,1,0
171,1,0,3,0,0,300.0,1,1,9.451211111832329,15.659633612793703,0,0,1
172,0,0,3,1,0,180.0,1,0,6.339850002884624,11.782179193831208,1,0,0
173,0,0,0,0,0,360.0,1,1,7.546894459887636,13.46824219236017,0,1,0
174,0,0,0,1,1,360.0,1,0,6.442943495848728,12.310612781659529,0,1,0
175,0,0,0,0,0,360.0,1,1,6.857980995127572,12.414949441474263,1,0,0
176,0,0,2,0,0,360.0,1,1,6.658211482751795,11.839203788096944,1,0,0
177,0,0,3,0,0,360.0,0,0,8.951284714966972,14.037546953962178,0,1,0
178,0,0,1,0,0,360.0,1,1,6.857980995127572,11.872674880270605,0,1,0
179,0,1,0,1,0,480.0,0,0,6.672425341971495,11.885696373339394,0,0,1
180,0,0,1,0,0,360.0,0,0,7.491853096329675,13.736613330694578,0,0,1
182,0,0,0,0,0,180.0,1,1,6.189824558880018,12.167418145831737,0,1,0
183,0,0,1,0,0,360.0,1,0,8.022367813028454,15.04669772232602,0,1,0
184,1,0,0,0,0,360.0,1,1,6.754887502163468,11.82376527978966,0,1,0
185,0,0,0,0,1,360.0,1,1,6.906890595608519,15.421834726302933,0,1,0
186,0,0,1,0,1,300.0,0,0,6.044394119358453,11.088788238716907,1,0,0
188,1,0,0,0,1,360.0,1,1,7.392317422778761,12.543515216152167,1,0,0
189,0,0,0,0,0,180.0,1,1,7.554588851677638,13.187352073200497,1,0,0
190,0,1,0,1,0,360.0,1,1,5.584962500721156,12.254142846855748,1,0,0
191,0,1,0,0,0,360.0,1,0,7.357552004618084,13.550746785383243,0,1,0
192,0,0,0,1,0,360.0,1,0,7.321928094887363,12.558659867026508,0,0,1
193,0,1,0,0,0,360.0,1,1,6.247927513443585,11.913637428049103,0,1,0
194,0,1,0,0,0,360.0,1,1,6.906890595608519,12.03307880613062,1,0,0
195,0,0,1,0,0,360.0,1,0,7.409390936137702,12.478769619475763,0,1,0
196,0,1,0,0,0,360.0,1,1,7.546894459887636,13.560691074923025,1,0,0
197,1,1,0,1,0,360.0,1,1,6.906890595608519,12.060695931687555,0,0,1
199,0,1,0,0,1,360.0,1,0,6.3750394313469245,13.425215903299383,0,0,1
200,0,0,1,1,0,360.0,1,1,6.491853096329675,12.31628153174622,0,1,0
201,0,1,2,0,0,360.0,0,1,7.3750394313469245,12.26532202423487,0,1,0
202,0,0,3,1,0,180.0,1,0,7.007810628047801,11.96289600533726,0,0,1
203,0,0,1,1,0,360.0,1,1,7.076815597050831,12.162076570374312,0,0,1
204,0,0,2,1,0,360.0,1,1,6.954196310386875,11.935533412950747,0,1,0
205,1,1,0,1,0,360.0,1,1,6.906890595608519,12.105908508571158,0,1,0
206,1,1,0,0,0,360.0,1,1,6.321928094887363,11.663558104217273,0,0,1
207,0,1,0,1,0,360.0,1,1,5.78135971352466,12.667555107041132,1,0,0
208,0,1,0,0,0,360.0,1,1,5.882643049361842,11.275542556086723,0,0,1
209,0,1,0,0,0,360.0,1,0,6.9886846867721655,11.73893668167614,0,1,0
210,1,1,0,0,0,360.0,1,0,7.741466986401147,13.287712379549449,0,1,0
211,0,0,3,0,0,360.0,0,0,7.0,12.192292814470767,0,1,0
212,0,0,1,0,1,360.0,1,1,7.906890595608519,12.926851910929878,0,0,1
213,0,0,3,1,1,360.0,1,1,7.022367813028454,12.477505317369708,1,0,0
214,0,0,0,0,0,360.0,1,1,7.098032082960526,12.596655667674662,0,0,1
215,0,0,3,1,0,360.0,1,1,6.643856189774724,12.238703279427725,0,1,0
216,0,0,0,0,0,360.0,1,0,7.076815597050831,10.929258408636972,1,0,0
217,0,0,0,0,0,360.0,1,1,7.03342300153745,12.42574042431621,0,1,0
220,0,0,0,0,0,360.0,0,0,5.906890595608519,11.116993677546981,0,0,1
221,0,0,2,0,0,360.0,1,1,6.857980995127572,12.483311954999353,0,1,0
222,0,1,0,0,0,360.0,1,1,7.169925001442312,12.49235394515987,0,1,0
223,0,0,0,0,0,360.0,1,1,7.451211111832329,13.068106475858773,0,1,0
224,0,0,0,0,0,360.0,1,1,7.0,12.609640474436812,0,1,0
225,0,0,0,0,0,360.0,1,0,7.409390936137702,11.66622400280318,1,0,0
226,0,0,0,1,1,360.0,1,0,7.108524456778169,12.209148710355747,0,0,1
227,0,0,2,0,0,360.0,1,1,7.714245517666122,12.955831504235881,0,1,0
229,0,1,0,0,1,360.0,1,1,7.643856189774724,12.643856189774725,1,0,0
230,0,0,1,0,0,360.0,1,1,6.700439718141092,12.15006457908147,0,1,0
232,0,1,0,1,0,360.0,1,1,6.906890595608519,12.49859992877026,1,0,0
233,1,1,0,0,0,360.0,1,1,8.129283016944967,13.024620264759832,0,1,0
234,0,0,1,0,0,360.0,1,1,7.129283016944966,12.268542000300123,0,1,0
235,0,0,1,0,0,360.0,1,1,7.409390936137702,12.722807531169547,1,0,0
238,1,1,1,0,0,360.0,1,1,6.807354922057604,11.896332403909941,1,0,0
239,0,0,1,0,0,360.0,1,1,6.584962500721156,11.69479315499995,0,1,0
240,0,0,2,0,0,360.0,1,1,6.906890595608519,13.401279536596528,1,0,0
241,0,0,1,1,0,180.0,1,0,7.129283016944966,12.133463346523438,0,0,1
242,0,1,0,0,0,60.0,1,1,7.2761244052742375,13.08115052127187,0,0,1
243,0,0,2,0,1,360.0,1,1,6.754887502163468,12.882260929099804,1,0,0
244,0,0,0,1,0,360.0,1,1,6.94251450533924,12.933506249629444,0,1,0
245,0,1,0,0,1,180.0,1,0,6.906890595608519,13.341935726886604,0,0,1
246,0,0,2,0,0,360.0,1,1,6.807354922057604,13.244215157319493,0,0,1
247,0,0,1,1,0,180.0,1,1,7.098032082960526,12.689997971419446,0,0,1
248,0,0,1,0,0,480.0,1,1,6.94251450533924,12.206098613995797,0,1,0
249,0,0,0,0,0,360.0,1,1,6.491853096329675,11.844313461203296,0,0,1
250,0,0,0,1,0,360.0,0,0,7.651051691178929,12.440350119200563,0,1,0
251,1,1,2,0,0,360.0,1,0,7.108524456778169,11.742730476519174,0,0,1
252,0,1,0,1,1,360.0,1,1,6.700439718141092,12.213711798105672,1,0,0
253,0,0,1,1,0,180.0,1,1,8.124121311829187,13.252961036393684,0,1,0
254,0,1,0,0,1,360.0,0,0,7.584962500721156,13.988152097690541,0,0,1
255,1,1,3,0,0,360.0,1,1,7.994353436858858,11.590119174107175,1,0,0
256,0,1,0,1,0,360.0,0,0,6.845490050944375,12.561526624136485,1,0,0
257,0,0,3,0,0,360.0,1,0,6.554588851677638,12.358101707440847,0,0,1
258,0,0,0,0,0,360.0,1,0,8.247927513443585,14.034713003448283,1,0,0
261,0,1,0,0,0,360.0,1,1,7.066089190457772,12.059682447247638,0,1,0
262,1,1,1,0,0,36.0,1,0,7.2761244052742375,11.765286098723683,0,1,0
263,1,1,0,0,0,360.0,1,1,6.906890595608519,12.813781191217037,1,0,0
264,0,1,0,0,1,360.0,1,1,7.0,12.334831928118,0,1,0
265,0,1,0,0,0,360.0,1,1,7.2384047393250786,12.880731435141664,1,0,0
266,0,0,2,0,0,360.0,1,1,7.22881869049588,12.573410505507574,0,1,0
267,0,0,3,0,0,360.0,0,1,7.321928094887363,12.584962500721156,0,0,1
269,1,1,1,0,0,360.0,1,1,6.491853096329675,12.11504365016171,0,0,1
270,1,1,0,0,0,360.0,1,1,4.906890595608519,11.660441650209172,0,0,1
271,0,0,0,0,0,360.0,1,1,7.087462841250339,13.444238438078106,0,0,1
272,0,1,0,0,0,360.0,1,1,6.977279923499917,12.19537220740274,1,0,0
273,0,0,0,0,0,360.0,1,1,7.22881869049588,12.241685287601625,0,1,0
274,0,0,2,0,0,360.0,1,1,6.491853096329675,11.929258408636972,0,1,0
275,0,0,1,0,0,360.0,1,1,6.845490050944375,12.164906926675688,0,1,0
276,0,0,0,0,0,360.0,1,1,7.693486957499325,12.827144190984281,0,1,0
277,0,0,0,0,0,360.0,1,1,6.321928094887363,12.104271128936894,0,0,1
278,0,0,0,0,0,360.0,1,1,8.768184324776927,13.831999919509737,0,1,0
280,0,1,1,1,1,360.0,0,0,7.303780748177103,12.661555442467758,0,0,1
281,0,0,0,0,0,360.0,1,1,6.807354922057604,12.20670914935865,0,1,0
282,0,0,2,0,0,180.0,1,1,6.285402218862249,11.682467951184153,0,0,1
283,1,1,0,0,0,360.0,1,1,5.754887502163468,11.763627351727628,0,0,1
284,0,0,0,0,0,360.0,1,0,7.007810628047801,14.335041363415005,1,0,0
285,0,1,0,0,0,360.0,1,1,6.475733430966398,12.600609852446706,1,0,0
286,1,1,0,0,1,300.0,1,0,6.6293566200796095,12.075813377461454,0,1,0
287,0,0,0,0,0,360.0,1,1,6.906890595608519,12.477758266443889,1,0,0
288,1,1,0,0,0,360.0,1,1,6.845490050944375,12.00982861736811,0,1,0
289,0,1,0,0,0,360.0,1,1,7.546894459887636,13.214926187942435,1,0,0
290,0,0,0,0,0,360.0,1,1,7.118941072723508,12.422853195944265,1,0,0
291,0,0,2,0,0,360.0,0,0,6.9886846867721655,12.103287808412022,0,1,0
292,0,0,2,0,0,360.0,1,1,7.066089190457772,12.202429966015352,0,0,1
293,1,1,0,0,0,480.0,0,0,7.159871336778389,12.403278375471052,0,0,1
294,0,0,0,0,0,360.0,1,1,7.426264754702098,12.481042574933754,0,1,0
296,0,0,1,0,0,360.0,1,1,7.643856189774724,12.747143998186747,0,1,0
297,1,0,1,0,0,360.0,1,1,7.076815597050831,12.187970591984199,0,0,1
298,1,1,0,0,0,480.0,1,0,7.2384047393250786,12.880540134333733,1,0,0
299,0,0,1,0,0,360.0,1,0,6.820178962415188,12.270003253378444,0,0,1
300,0,0,0,1,0,360.0,0,0,6.539158811108031,12.208843990734614,0,0,1
301,0,0,0,1,0,360.0,1,1,6.714245517666122,12.175237650291036,0,1,0
302,1,1,0,0,0,360.0,1,1,7.044394119358453,12.287712379549449,1,0,0
303,0,0,1,0,0,360.0,1,1,6.584962500721156,11.7431513941125,0,0,1
304,0,1,0,0,0,360.0,1,1,7.129283016944966,12.66622400280318,1,0,0
305,0,1,0,1,0,360.0,1,0,7.007810628047801,10.965784284662087,0,0,1
306,1,1,0,0,0,360.0,1,1,7.076815597050831,12.406205005418855,1,0,0
307,1,1,0,0,0,360.0,0,0,6.700439718141092,12.057653339963936,0,0,1
308,0,1,0,0,0,360.0,1,0,8.906890595608518,14.304422627485119,1,0,0
310,1,1,0,0,0,360.0,1,1,6.392317422778761,11.510269670898177,0,1,0
311,0,1,0,1,0,360.0,1,1,6.794415866350106,12.380461065088973,0,1,0
312,1,1,0,0,0,360.0,1,1,5.807354922057604,11.291746280833939,1,0,0
314,1,0,0,0,0,360.0,1,0,7.312882955284356,12.075479149488016,1,0,0
315,0,0,1,1,0,180.0,1,1,6.794415866350106,12.298921740969753,0,0,1
316,0,0,2,0,0,360.0,1,1,6.906890595608519,11.859922972861758,0,1,0
319,0,0,1,0,1,360.0,1,0,7.2761244052742375,13.287712379549449,1,0,0
320,0,0,0,0,0,360.0,1,1,6.845490050944375,12.157031074378354,0,1,0
321,0,0,3,0,0,360.0,1,1,6.954196310386875,12.14561377551339,0,1,0
322,0,0,2,1,0,360.0,1,1,7.007810628047801,12.34179677239183,1,0,0
324,0,0,3,0,0,360.0,1,1,8.228818690495881,13.872674880270605,1,0,0
325,0,0,1,0,1,360.0,0,0,8.554588851677638,13.736507634878501,1,0,0
326,0,1,0,0,0,360.0,0,1,7.022367813028454,12.263562639820615,1,0,0
327,0,0,0,0,1,360.0,1,1,7.523561956057013,12.961811408087163,0,1,0
328,1,0,0,0,0,360.0,1,0,6.78135971352466,12.727920454563199,0,0,1
329,1,1,0,0,0,360.0,1,1,6.066089190457772,11.287712379549449,0,0,1
330,0,1,1,0,0,360.0,1,1,6.870364719583405,12.59269061535341,0,0,1
331,0,1,0,0,0,360.0,1,1,6.614709844115208,11.519144787997414,0,1,0
332,0,1,0,0,0,360.0,1,1,6.149747119504682,11.468114886378098,0,0,1
334,1,0,1,0,1,180.0,1,1,7.507794640198696,13.510022358813766,0,0,1
335,0,0,0,0,1,360.0,1,1,6.129283016944966,13.286702139395507,0,1,0
337,0,0,2,0,1,360.0,1,1,7.459431618637297,12.793603309279407,1,0,0
338,1,1,3,1,0,360.0,0,0,7.007810628047801,10.837627933171404,0,0,1
339,1,1,0,0,0,360.0,1,1,6.149747119504682,12.022367813028454,0,1,0
340,0,0,3,1,0,360.0,1,0,7.434628227636725,12.047805554007589,1,0,0
341,1,1,0,0,0,360.0,1,0,5.523561956057013,11.215532999745657,1,0,0
342,0,0,1,1,0,360.0,1,1,7.303780748177103,12.49760238678349,0,0,1
343,0,0,3,1,0,360.0,1,1,6.20945336562895,11.631631805917637,0,1,0
345,0,0,0,0,0,360.0,1,1,7.321928094887363,12.275251543470327,0,1,0
346,0,0,0,1,0,360.0,0,0,7.247927513443585,12.721312842175312,1,0,0
347,0,0,2,1,0,360.0,1,1,6.977279923499917,12.35837648032824,0,0,1
349,0,0,0,0,0,360.0,1,1,7.546894459887636,13.115531404166768,1,0,0
350,0,0,0,0,0,360.0,1,1,7.832890014164741,13.148953164809123,0,1,0
351,0,1,0,0,0,360.0,1,0,8.266786540694902,13.656983419574544,1,0,0
352,0,0,3,0,0,360.0,1,1,6.569855608330948,12.213408040858337,1,0,0
353,1,0,0,0,1,360.0,0,0,6.714245517666122,12.425215903299383,1,0,0
354,1,0,0,0,0,360.0,1,1,7.022367813028454,11.515699838284043,0,1,0
355,1,1,0,0,0,180.0,1,1,6.857980995127572,11.896710815726115,0,0,1
356,0,0,2,0,0,360.0,1,1,7.366322214245816,13.4893462407191,1,0,0
357,0,0,1,0,0,360.0,1,0,6.066089190457772,11.919980595048962,0,0,1
358,0,0,0,1,0,480.0,0,0,6.643856189774724,12.187970591984199,0,0,1
359,0,0,3,0,0,360.0,1,1,7.643856189774724,13.024793384702548,0,1,0
360,1,1,1,0,0,360.0,1,0,6.339850002884624,12.205487820150566,0,1,0
361,0,0,2,0,0,360.0,1,1,7.882643049361842,13.08131698928577,0,1,0
362,0,0,0,0,0,360.0,1,1,7.022367813028454,12.790144826949799,0,0,1
364,0,1,0,0,1,360.0,1,1,7.139551352398794,12.735979039613404,1,0,0
365,0,1,0,1,0,360.0,1,0,7.05528243550119,12.60177078840771,1,0,0
366,0,1,0,0,0,480.0,1,0,6.584962500721156,11.287712379549449,0,1,0
367,0,1,0,0,0,360.0,0,0,6.954196310386875,12.323054760341646,1,0,0
368,0,0,1,0,0,360.0,1,1,7.451211111832329,12.626849764469036,0,1,0
369,0,0,0,0,0,360.0,1,0,9.154818109052105,14.609409624761803,1,0,0
370,1,1,0,0,1,360.0,1,1,5.78135971352466,13.94388836987587,0,1,0
371,0,0,2,0,0,360.0,1,1,7.2761244052742375,12.340128273700588,0,1,0
372,0,0,2,0,1,300.0,1,1,8.569855608330949,14.069785394983302,1,0,0
373,0,1,1,0,0,180.0,0,0,6.794415866350106,12.301781962051106,0,0,1
375,0,0,0,0,0,180.0,1,1,6.906890595608519,12.486835021563051,0,0,1
